german	russian
notwendig	необходимый
die Prüfungsordnung, -en	порядок проведения экзамена
verpflichtet (zu + D.)	обязан
das Wörterbuch, "-er	словарь
das Zertifikat, -e	сертификат
hinterlassen, hinterlässt, hinterließ, hat hinterlassen (Bitte hinterlassen Sie die Kursräume sauber.)	оставить после себя (Пожалуйста, оставляйте учебные помещения после себя чистыми.)
rauchen	курить
sauber	чистый
die Sprachschule, -n	школа изучения языков
umformulieren	переформулировать
behalten (sich), behält, behielt, hat behalten ) (Ich kann mir die vielen neuen Vokabeln immer so schwer behalten.)	удерживать (в голове), помнить (Мне очень сложно удержать много новых слов в голове.)
außer	кроме
das Boot, -e	лодка
ebenso	точно так же, таким же образом
der Fährmann, "-er	паромщик, перевозчик
der Fluss, "-e	река
fressen, frisst, fraß, hat gefressen	есть (о животном)
der Kohlkopf, "-e	кочан капусты
leider	к сожалению
das Schaf, -e	овца
die Seite, -n (auf der anderen Seite des Flusses)	сторона (на другой стороне реки)
stehen, steht, stand, hat gestanden (vor einem Problem stehen)	стоять (столкнуться с проблемой)
überqueren	перейти, переплыть, пересечь
der Wolf, "-e	волк
zurückbleiben, bleibt zurück, blieb zurück, ist zurückgeblieben	оставаться
vorgehen (bei + D.), geht vor, ging vor, ist vorgegangen (Wie gehst du bei der Lösung der Aufgabe vor?)	действовать, принимать меры (Какими будут твои действия для решения задачи?)
der Zahnarzttermin, -e	приём у зубного врача
flexibel, flexibler, am flexibelsten	гибкий
das Gedächtnistraining, -s	тренинг памяти
der Lösungsweg, -e	путь решения
die Denkaufgabe, -n	головоломка
abfragen	опрашивать
auf einmal (Lern nie zu viele Vokabeln auf einmal)	сразу, одновременно (Никогда не учи очень много слов одновременно.)
aufschreiben, schreibt auf, schrieb auf, hat aufgeschrieben	записывать
auswendig	наизусть
automatisch	автоматически
betrachten	считать, рассматривать
bildlich	красочный, образный
erfolgen	последовать, произойти
ersparen	сэкономить, сберечь, избавить
die Fremdsprache, -n	иностранный язык
das Gedächtnis (Sg.)	память
hintereinander	друг за другом
kombinieren (mit + D.)	комбинировать
die Lernarbeit (Sg.)	учебная работа
der Lernweg, -e	путь (метод) изучения
merken (sich) (Ich kann mir Namen und Gesichter so schlecht merken.)	запоминать (Я очень плохо запоминаю имена и лица.)
der Sinn, -e (die fünf Sinne)	чувство(пять органов чувств)
sonst	иначе
stattfinden, findet statt, fand statt, hat stattgefunden	состояться
umgekehrt	наоборот
der Unsinn (Sg.)	бессмыслица
vergessen, vergisst, vergaß, hat vergessen	забывать
verteilen	поделить
die Vokabel, -n	слово
vorstellen (sich) (Stellt euch mal vor, was mir heute passiert ist: ...)	представить себе (Представьте себе только, что сегодня со мной произошло: ...)
weiterhelfen, hilft weiter, half weiter, hat weitergeholfen	помочь (справиться с трудностями)
die Wiederholung, -en	повторение
zeitlich	временной
der Zettel, -	листок бумаги, карточка
anonym	анонимно
einsammeln	собирать
das Lernproblem, -e	учебная проблема
nachsehen, sieht nach, sah nach, hat nachgesehen	смотреть, узнавать, проверять
anlegen (Legen Sie eine Mindmap an.)	составить, набросать (Составьте интеллект-карту.)
die Mindmap, -s	карта мыслей, интеллект-карта
die Rechtschreibung (Sg.)	правописание
der Textaufbau (Sg.)	строение текста
das Teilthema, -themen	подтема
empfehlenswert	достойный рекомендации
hilfreich	полезный, готовый помочь
nützlich	полезный
sinnvoll	осмысленный, рациональный
der Lerntipp, -s	совет по учёбе, изучению ч.-л.
der Ratgeber, -	советчик, консультант
auslegen (Legen Sie die Texte im Kurs aus.)	интерпретировать, комментировать (Прокомментируйте тексты на уроке.)
die Gestalt, -en	телосложение, фигура, образ
der Deutschkurs, -e	курс немецкого языка
die Deutschprüfung, -en	экзамен по немецкому языку
der/die Gesprächspartner/in, -/-nen	собеседник
das Material, -ien	материал
die Uhrzeit, -en	время
vorbereiten	подготовить
die Vorbereitung, -en	подготовка
wiedergeben, gibt wieder, gab wieder, hat wiedergegeben	воспроизвести
der Treffpunkt, -e	место встречи
der Wochentag, -e	день недели
ablehnen	отклонить
der Gegenvorschlag, "-e	встречное предложение
planen	планировать
aneignen (sich) (sich Wissen aneignen)	усваивать, овладевать (усваивать знания)
der Aufwand, "-e	затрата, труд
der Ausdruck (Sqg.) (Mir fällt es schwer, meine Gefühle für dich zum Ausdruck zu bringen.)	выражение (Мне трудно выразить тебе свои чувства.)
aussterben, stirbt aus, starb aus, ist ausgestorben (Die Dinosaurier sind schon lange ausgestorben.)	вымирать (Динозавры уже давно вымерли.)
die Begeisterung (Sg.)	вдохновение
die Belohnung, -en	награда, вознаграждение
die Bildungseinrichtung, -en	учебное заведение
breit (ein breites Publikum)	широкий (широкая общественность)
das Dauerlob (Sg.)	продолжительня похвала
dringend	срочно, немедленно
der Druck (Sg.)	давление
die Eigenmotivation (Sg.)	личная мотивация
einstellen (sich) (auf + A.) (Ich finde es ‚manchmal schwer, mich auf andere Menschen einzustellen.)	настраиваться, приспосабливаться, привыкать (Мне иногда бывает трудно привыкнуть к другим людям.)
einstimmen (sich) (auf + A.) (Ich stimme mich schon mal auf den Besuch meiner Schwiegermutter ein.)	настраиваться (Я уже начну-ка настраиваться на приход моей тёщи.)
die Entdeckerfreude (Sg.)	радость открытия, радость первооткрывателя
die Entdeckungslust (Sg.)	желание открытий
entfalten	развёртывать, раскрывать
die Entstehungszeit, -en	время происхождения
entweder ... oder	или... или
entziehen, entzieht, entzog, hat entzogen (sich einer Strafe entziehen)	уклоняться, избегать (избегать наказания)
erfinden, erfindet, erfand, hat erfunden	изобретать
erhärten (etw. an einem Beispiel erhärten)	подтвердить (подтвердить ч.-л. на примере)
ernst nehmen	принимать всерьёз
das Fach, "-er	предмет (обучения)
das Fachbuch, "-er	учебник
fordern	требовать
fördern	способствовать
gegenwärtig	настоящий, современный
die Gemeinschaft, -en	общество
der Gesang, "-e	пение
gestalten	конструировать, разрабатывать
der/die Gestalter/in, -/-nen	творец, создатель
die Gestaltungslust (Sg.)	желание творить
der/die Hirnforscher/in, -/-nen	исследователь головного мозга
die Hirnforschung (Sg.)	исследование головного мозга
identisch	идентичный
das Industriezeitalter, -	индустриальный век
das Kindergehirn, -e	мозг ребёнка
die Kommunikationsform, -en	форма коммуникации
das Kraftfutter (Sg.)	комбикорм, концентрат
die Kreativität (Sg.)	креативность
der Lernzugang, "-e	доступ к обучению
der/die Managerlin, -/-nen	менеджер
das Maschinenzeitalter, -	век техники
das Maß, -e	мера, размер
die Neurobiologie (Sg.)	нейробиология
nutzlos	бесполезный
die Pflicht, -en	обязательство
das Potential, -e	потенциал
der/die Professor/in, -en/-nen	профессор
das Sachbuch, "-er	научно-популярная книга
singen, singt, sang, hat gesungen	петь
somit	таким образом
souverän	суверенный
überraschend	неожиданно
die Universität, -en	университет
das Verfahren, -	действие, поведение, метод
verständigen (sich) (mit + D.) (über + A.) (Ich habe mich mit meinem Kollegen über die nächsten Schritte verständigt.)	достигнуть соглашение (Я договорился с моим коллегой о дальнейших действиях.)
voller (Das ist mein voller Ernst.)	полный (Я на полном серьёзе.)
die Wertschätzung, -en	уважение
die Wirklichkeit (Sg.)	действительность
wünschenswert	желательно
zerstören	разрушать
zufällig	случайно
das Zukunftsmodell, -e	модель будущего
zwingen (zu + D.), zwingt, zwang, hat gezwungen	принуждать, заставлять
die Alternative, -n	альтернатива
anfangen, fängt an, fing an, hat angefangen 	начинать
aufgefordert sein	быть призванным
der Auftrag, "-e	поручение, задание
baden	купаться
beabsichtigen	намереваться
die Bedeutung, -en	значение
besitzen, besitzt, besaß, hat besessen	владеть
bitten (um + A.), bittet, bat, hat gebeten	просить
der Bus, -se	автобус
empfehlen, empfiehlt, empfahl, hat empfohlen	рекомендовать
erlauben	разрешать
die Erlaubnis (Sg.)	разрешение
die Forderung, -en	требование
die Gelegenheit, -en	случай, возможность, повод
gestatten	разрешать, позволять
gezwungen sein (zu + D.)	быть принуждённым
imstande sein (zu + D.)	мочь, быть в состояние
die Notwendigkeit, -en	необходимость
reparieren	ремонтировать
sitzen bleiben	остаться сидеть, не вставать
die Tasche, -n	сумка
verbieten, verbietet, verbat, hat verboten	запрещать
der/die Erntehelfer/in, -/-nen	помошник по уборке урожая
der Fahrradkurier, -e	велокурьер
die Küchenhilfe, -n	помощь на кухне
das Maskottchen, -	талисман
der/die Möbelpacker/in, -/-nen 	упаковщик мебели
der/die Taxifahrer/in, -/-nen 	водитель такси
die Weinlese (Sg.)	собирание винограда
das Zimmermädchen, -	горничная
der Erfahrungsbericht, -e 	сообщение об опыте
jeweils	в каждом случае, соответственно
negativ	негативно
die Anerkennung, -en 	признание
die Aufstiegschance, -n 	возможность развития, роста
das Einkommen, -	доход
die Herausforderung, -en 	испытание
die Karrierechance, -n 	возможность продвижения вверх по карьерной лестнице
die Radiosendung, -en 	радиопередача
der Umzug, "-e 	переезд
vereinbar	совместимый
die Zukunft (Sg.)	будущее
die Straßenumfrage, -n 	опрос на улице
der/die Frisör/in, -e/-nen 	парикмахер
die Zeitangabe, -n	указание времени
die Aufforderung, -en 	приглашение, требование
der Beamer, -	видеопроектор
die Kantine, -n	столовая
das Protokoll, -e	протокол
testen	тестировать, испробывать
wegräumen	убирать, устранять
das Cafe, -s	кафе
das Kuchenrezept, -e 	рецепт пирога
die Realisierung, -en 	реализация
selbstgebacken	испечённый своими руками
die Spezialität, -en	фирменное блюдо
der/die Unternehmensgründer/in, -/-nen	основатель предприятия
der Zukunftstraum, "-e	будущее место
laufen, läuft, lief, ist gelaufen (Im Cafe läuft gute Musik.)	идти (В кафе звучит хорошая музыка.)
die Berufswahl (Sg.)	выбор профессии
dauern	длиться
eingeben, gibt ein, gab ein, hat eingegeben (Gib deinen Namen in das Formular ein.)	записать (Запиши своё имя в формуляре.)
der Test, -s	тест
das Talent, -e	талант
die Absprache, -n (Termine nur nach Absprache)	договорённость (приём только по договорённости)
anpacken (Helmut hatte den Mut, etwas Neues anzupacken.)	браться, приступать (Хельмут нашла в себе смелость, взяться за что-то новое.)
anrufen, ruft an, rief an, hat angerufen	звонить (по телефону)
die Baufirma, -fiimen	строительная фирма
die Beratung, -en	консультация
bieten, bietet, bot, hat geboten	предлагать
da sein	присутствовать, быть в распоряжении
eincremen (sich)	накремить
das Einzeltraining, -s	индивидуальная тренировка
erziehen, erzieht, erzog, hat erzogen	воспитывать
der Expressdienst, -e	служба оказания экспресс-услуг
die Gardinenstange, -n	карниз
der/die Handwerker/in, -/-nen	мастер
handwerklich	ремесленный
harmonisch	гармоничный
die Hundeerziehung (Sg.)	дрессировка собак
die Hundeschule, -n	школа дрессировки собак
innovativ	инновативный
der Kasten, "-	ящик, сундук
die Katastrophe, -n	катастрофа
der/die Kleine, -n	малыш(ка)
kommen (zu + D.), kommt, kam, ist gekommen (Wie kamst du zu dieser Idee?)	приходить (Как тебе пришла эта идея?)
die Kosten (PI.)	стоимость
mitbringen, bringt mit, brachte mit, hat mitgebracht	приносить с собой
der Mucks (Sg.) (keinen Mucks von sich geben)	слабый звук (не пикнуть, не открыть рта)
der Mut (Sg.)	смелость
der Notdienst, -e	служба неотложной помощи
die Pleite, -n	банкротство
preiswert	недорогой
professionell	профессиональный
der Rasenmäher, -	газонокосилка
das Regal, -e	полка
schief	криво
der Service, -s	сервис
stressfrei	спокойный, не вызывающий стресса
der/die Tierpsychologe/Tierpsychologin, -n/nen	зоопсихолог
das Trainingsgelände, -	территория для тренировок
unkompliziert	несложный
der Urlaub, -e	отпуск
verlegen (den Teppich verlegen)	положить, переложить (уложить ковровое покрытие)
vor Kurzem (vor Kurzem habe ich eine alte Freundin wiedergetroffen.)	недавно (Недавно я повстречал давнюю подругу.)
das Baguette, -s	багет, французский батон
das Besteck, -e	столовый прибор
das Dessert, -s	дессерт
essbar	съедобный
frei (frei Haus)	свободный (с бесплатной доставкой на дом)
das Geschirr, -e	посуда
die Geschwister (PI.)	братья и сёстры
großartig	великолепный
die Käseplatte, -n	блюдо с сыром
Last-Minute	горячий (тур), в последнюю минуту
lecker	вкусный
liefern	доставлять
die Lieferung, -en	доставка
mitliefern	доставлять вместе
nix (ugs. für: nichts)	ничего
das Picknick, -s	пикник
ruckzuck	разом, вмиг
der Salat, -e	салат
der Snack, -s	лёгкая закуска
die Sonne, -n	солнце
der Sonntag, -e	воскресенье
die Sorte, -n	сорт
das Spezial, -s	специальное предложение
versorgen	снабжать
die WG, -s	общежитие
die Geschäftsidee, -n	коммерческая идея
das Klavier, -e	фортепиано
nähen	шить, вышивать
et cetera (etc.)	и так далее (и т.д.)
fertig	готовый
die Gardine, -n	занавеска, гардина
das Heim, -e	дом, домашний очаг
das Kissen, -	подушка
der Look, -s	мода, стиль
der Vorhang, "-e	штора
ziehen, zieht, zog, ist gezogen (in eine neue Wohnung ziehen)	переехать (переехать на новую квартиру)
die Dienstleistung, -en	услуга
aufhängen	повесить
gebrauchen	нуждаться
das Anschreiben, -	письмо
der/die Arbeitgeber/in, -/-nen	работодатель
das Arbeitszeugnis, -se	справка (характеристика) с прежнего места работы
bewerben (sich) (um + A.), bewirbt, bewarb, hat beworben	подавать заявление
der/die Bewerber/in, -/-nen	кандидат, соискатель
die Bewerbung, -en	заявление, конкурс на приём на работу
die Bewerbungsunterlagen (PI.)	документы, требующиеся для приёма на работу
der Eindruck, "-e	впечатление
einladen, lädt ein, lud ein, hat eingeladen	приглашать
der Eintrittstermin, -e	срок поступления
das Eselsohr, -en	загнутый угол страницы
das Fachwissen (Sg.)	профессиональные знания
der Fettfleck, -en	жирное пятно
formal	формально
die Gehaltsvorstellung, -en	ожидаемый размер заработной платы
gepflegt	ухоженный
das Interesse, -n	интерес
der/die Interessent/in, -en/-nen	заинтересованное лицо
korrekt	правильно
der Lebenslauf, "-e	автобиография
lückenlos	без пропусков
mitarbeiten	сотрудничать
der/die Mitarbeiter/in, -/-nen	сотрудник
ordentlich	порядочно
per (per Post / per Anhalter)	по (по почте / автостопом)
der/die Personalchef/Personalchefin, -s/-ner	начальник отдела кадров
die Post (Sg.)	почта
ruhig (Geh ruhig zu ihr und sprich sie an.)	тихо, спокойно (Подойди к ней спокойно и поговори.)
das Schulzeugnis, -se	школьный табель успеваемости
städtisch	городской
die Stärke, -n	сила
die Tätigkeit, -en	деятельность
übertreiben, übertreibt, übertrieb, hat übertrieben	преувеличивать
der Verband, "-e	объединение
vertraut	доверенный
vollständig	полный, полностью
das Vorfeld (Sg.) (Im Vorfeld hatte er sich gut über seinen Gesprächspartner informiert.)	преддверье (Накануне он узнал достаточно информации о своём собеседнике.)
das Vorstellungsgespräch, -e	собеседование при приёме на работу
die Wahrheit, -en	правда
wecken (interesse wecken)	пробудить (пробудить интерес)
sonstig	иной, прочий
das Kompliment, -e	комплимент
tauschen	обменяться
beschweren (sich) (bei + D.) (über + A.)	жаловаться
entschuldigen (sich) (bei + D.) (für + A.)	извинять
ärgern (sich) (über + A.)	сердиться
blöd	глупый, тупой
echt (Ich habe gekündigt. - Echt?)	правда (- Я уволилась. - Правда?)
unsicher	неуверенный
der Kursraum, "-e	помещение, в котором проходят курсы
die Wirtschaft (Sg.)	экономика
abhalten, hält ab, hielt ab, hat abgehalten (Wir müssen unbedingt mal wieder eine Telefonkonferenz abhalten.)	проводить (собрание) (Нам нужно обязательно снова провести телефонную конференцию.)
der Aktenkoffer, -	кейс, портфель
die Alp, -en	горное (альпийское) пастбище
die Anatomie (Sg.)	анатомия
anziehen, zieht an, zog an, hat angezogen	надевать, одевать
auskennen (sich) (mit + D.), kennt sich aus, kannte sich aus, hat sich ausgekannt	ориентироваться
die Bahn, -en	железная дорога
begrüßen	приветствовать
behandeln	лечить
der Berg, -e	гора
der Bergschuh, -e	горные ботинки
die Besprechung, -en	совещание
bewirtschaften	вести хозяйство, обрабатывать землю
einhalten, hält ein, hielt ein, hat eingehalten (Kannst du nicht endlich mal einen Termin einhalten?)	соблюдать, выполнять (Ты не мог бы хоть раз сделать это вовремя?)
einschätzen	оценивать
die Geschäftsreise, -n	деловая поездка, командировка
die Gymnastikübung, -en	гимнастическое упражнение
halten, hält, hielt, hat gehalten (einen Vortrag halten)	держать (готовить доклад / читать доклад)
hinausbegleiten	провожать до дверей
hüten (Schafe hüten)	пасти (пасти овец)
die Hütte, -n	избушка, хижина
die Konferenz, -en	конференция
die Krankengeschichte, -n	история болезни
die Kuh, "-e	корова
massieren	массировать
der/die Patient/in, -en/-nen	пациент
der Stammgast, "-e	постоянный посетитель
die Telefonkonferenz, -en	телефонная конференция
der Termin, -e	срок, приём
der/die Türsteher/in, -/-nen	привратник, швейцар, вахтёр
unangenehm	неприятный
der Vortrag, "-e	доклад
wandern	странствовать
die Ziege, -n	коза
denkbar	мыслимый
vorstellbar	вообразимый
der Alphirt, -en	альпийский пастух
die Alpwirtschaft, -en	альпийское сельское хозяйство
der/die Angestellte, -n	служащий
bereuen (Ich bereue nichts, was ich bisher getan habe.)	сожалеть (Я ни о чём, что до сих пор сделал, не жалею.)
betrunken	льяный
das Doppelleben (Sg.)	двойная жизнь
erlernen	выучить, научиться
erwünscht	желательный
der/die Farmer/in, -/-nen	фермер
die Forschungsarbeit, -en	исследовательская работа
der Forschungsaufenthalt, -e	научная практика, научная стажировка
freitags	по пятницам
gern gesehen (Betrunkene sind hier nicht gern gesehen.)	желанный (Люди в нетрезвом состоянии здесь нежеланны.)
das Gesundheitssystem, -e	система здравоохронения
der/die Heilpraktiker/in, -/-nen	лицо без медицинского образования, имеющее право на ограниченную лечебную практику
der Hektar, - (ha)	гектар
der Helikopter, -	вертолёт
die Herde, -n	стадо
hoffen	надеяться
im Grunde	в принципе
die Innenstadt, "-e	центр города
inzwischen	между тем
der Kanton, -e	кантон
die Konkurrenz (Sg.)	конкуренция
das Krankenhaus, "-er	больница
die Lehrtätigkeit (Sg.)	педагогическая деятельность
machen (sich auf den Weg machen)	делать (собираться в путь)
das Maultier, -e	мул
die Menschenkenntnis (Sg.)	знание людей
das Nachtleben (Sg.)	ночная жизнь
ökologisch	экологический
ökonomisch	экономический
das Pferd, -e	конь
physisch	физический
politisch	политический
der Praxisraum, "-e	помещения практики
psychisch	психический
rau	шершавый
samstags	по субботам
schaffen (Der Helikopter schafft Material auf die Alm.)	доставлять (Вертолёт доставляет материалы на горное пастбище.)
das Standbein, -e (Mein zweites Standbein ist die Tätigkeit als Dozent an der VHS.)	опорная нога (Моя вторая опорная нога - это преподавательская деятельность в вечернем университете.)
teilweise	частично
das Unterland (Sg.)	низменность
zentral	центральный
zugutekommen, kommt zugute, kam zugute, ist zugutegekommen (in diesem Beruf kommen mir meine Erfahrungen mit Menschen sehr zugute.)	помогать (В этой профессии мне очень помогает мой опыт с людьми.)
der Beginn (Sg.)	начало
der Berufswechsel, -	смена профессии
der Abschied, -e	прощание
der Entschluss, "-e	решение, намерение
die Konsequenz, -en	выводы, последствия
schwer (Die Aufgabe ist ziemlich schwer. Ich kann sie nicht lösen.)	сложный, тяжёлый, трудный (Задание очень сложное. Я не могу его решить.)
sparen	экономить
der/die Tauchlehrer/in, -/-nen	учитель по дайвингу (погружению)
weglassen, lässt weg, ließ weg, hat weggelassen	пропускать, отбрасывать
der Absatz, "-e (Der Text ist in vier Absätze gegliedert.)	абзац (Текст разделён на четыре абзаца.)
die Ahnung, -en (Er hat echt keine Ahnung!)	представление (У него нету никакого представления.)
das Alltagsgespräch, -e	обычная беседа
der Arbeitsalltag (Sg.)	рабочие будни
der Ausruf, -e	восклицание, возглас
der Chat, -s	чат
der Club, -s	клуб
echt (Ich habe echt keine Lust mehr.)	действительно (У меня действительно нету никакого желания.)
das Grinsen (Sg.)	ухмылка
hoch (Kopf hoch!)	высоко (Выше голову!)
die Krise, -n	кризис
die Laune, -n	настроение
nerven (Mein Chef nervt tierisch!)	нервировать (Мой шеф нервирует позверски!)
die Rede, -n	речь, разговор
der Smiley, -s	смайлик
die SMS, -	смс
tierisch (Du nervst tierisch!)	по-звериному (Ты нервируешь жестоко!)
untypisch	нетипично
verkürzt	сокращённый
der All-inclusive-Ferienclub, -s	большой гостиничный комплекс с различными возможностями проведения досуга по системе "всё включено"
der Clubgast, "-e	гость клуба
dieselbe, derselbe, dasselbe	та же самая
der Ferienclub, -s	большой гостиничный комплекс с различными возможностями проведения досуга
das Heimweh (Sg.)	тоска по родине, по дому
inklusive (inkl.)	включительно
launisch	капризный, своенравный, причудливый
meckern	ворчать, придираться
nach Hause	домой
neidisch	завистливый
das Reisebüro, -s	туристическое бюро
der/die Unterhalter/in, -/-nen	массовик, культорганизатор
weiterschreiben, schreibt weiter, schrieb weiter, hat weitergeschrieben	написать продолжение
das Wetter (Sg.)	погода
abgesehen (von + D.) (Mir geht's gut, abgesehen von ein bisschen Husten.)	не считая, за исключением (Мои дела идут хорошо, не считая небольшого кашля.)
aufpeppen (Mein Zimmer ist so langweilig. Ich sollte es ein wenig aufpeppen.)	обновлять, придавать изюминку (Моя комната такая скучная. Мне нужно было бы что-нибудь обновить.)
der Bikini, -s	бикини
bis hin zu (+ D.) (auf der Plattform kann man alles kaufen: von Bikinis bis hin zu Nägeln.)	до (На платформе можно купить всё, что угодно: от бикини до гвоздей.)
der Dezember (Sg.)	декабрь
das Einzelstück, -e	единичный экземпляр
der Enkel, -	внук
fertigen	изготовлять, делать
das Gedicht, -e	стихотворение, поэма
die Grundausstattung, -en	основное оборудование
der/die Gründer/in, -/-nen	основатель
gucken	смотреть
günstig	дешёвый, выгодный
häkeln	вязать крючком
die Handarbeit, -en	ручная работа
handgemacht	ручной работы
heimisch	домашний, родной, местный
hin oder her	туда или обратно.
das Industrieland, "-er	промышленная страна
das Internetportal, -e	интернет-портал
irre	безумный
der Kapuzenpulli, -s	джемпер с капюшоном
der/die Käufer/in, -/-nen	покупатель
die Kleinserie, -n	небольшая серия
klicken (sich) (durch + A.) (Ich verbringe Stunden damit, mich durch das Internet zu klicken.)	нажимать, кликать (Я провожу часы, кликая по интернету.)
kratzig	царапающий, вызывающий зуд
der/die Kreative, -n	креативный человек
der/die Ladenbesitzer/in, -/-nen	владелец магазина
der/die Liebhaber/in, -/-nen	любовник, поклонник
das Logo, -s	логотип
die Massenproduktion, -en	массовая продукция
der Millionär, -e	миллионер
das Netz, -e	сеть
der Ohrring, -e	серьга
die Oma, -s	бабушка
outen (sich) (als)	откровенно высказываться
das Paar (Sg.) (Ich muss mir dringend ein Paar Socken kaufen.)	пара (Мне нужно срочно купить пару носков.)
das Portal, -e	портал
der Ringelpullunder, -	вязаная безрукавка
die Rückkehr (Sg.)	возвращение
der Sarg, "-e	гроб
schier (Das Angebot im Internet ist schier unüberschaubar.)	почти (Предложение в интернете трудно не заметить.)
der/die Schneider/in, -/-nen	портной
der Schulranzen, "-	школьный ранец
selbstgemacht	самодельный
selbstgeschrieben	написанный собственноручно
die Socke, -n	носок
stöbern	рыться, шарить
stopfen	штопать, зашивать
die Tante, -n	тётя
tragen, trägt, trug, hat getragen (ein Kleidungsstück tragen)	носить (носить платье)
unüberschaubar	необозримый
urlaubsreif	усталый, нуждающийся в отпуске
vergehen, vergeht, verging, ist vergangen (Wenn ich im Internet surfe, vergeht schnell eine Stunde.)	проходить (о времени) (Когда я лажу по интернету, один час проходит очень быстро.)
der Verkauf, "-e	продажа
verkaufstüchtig	успешно продающий
das Versprechen, -	обещание
weitaus	намного, гораздо
weiterklicken	щёлкать дальше
das Wohnzimmer, -	жилая комната
womöglich	быть может, возможно
zielgerichtet	целенаправленно
zurückdrehen	поворачивать назад
die Arbeitszeit, -en	рабочее время
das Bewerbungsgespräch, -e 	беседа с кандидатом на вакантное место
einfügen	вставить
erinnern (sich) (an + A.)	помнить
die Institution, -en	учреждение, институт
das Projekt, -e	проект
der/die Projektleiter/in, -/-nen 	руководитель проекта
unhöflich	невеждивый
vortragen, trägt vor, trug vor, hat vorgetragen (ein Gedicht vortragen)	докладывать, читать, исполнять (прочитать стихотворение)
alleinlebend	одинокий
die Fernbeziehung, -en	отношения на расстоянии
die Großfamilie, -n	большая семья (из нескольких поколений)
kinderlos	бездетный
die Lebensform, -en	образ жизни
der/die Lebensgefährte/Lebensgefährtin, -n/nen	спутник жизни
die Patchworkfamilie, -n	семья, в котормо есть дети не только от этого брака, но и от предыдущего
der Single, -s	одиночка, холостяк, незамужняя
verwitwet	овдовевший
der Elternteil, -e	родитель, один из родителей
die Familienform, -en	форма семьи
das Lebensziel, -e	цель жизни
leiblich (Ich habe zwei leibliche Kinder und zwei Adoptiv-Kinder.)	родной, кровный (У меня два родных ребёнка и два приёмных.)
die Scheidungsrate, -n	разводимость, количество разводов
das Familienmitglied, -er	член семьи
entschließen (sich) (zu + D.), entschließt sich, entschloss sich, hat sich entschlossen	решаться, собираться
gewöhnen (sich) (an + A.)	привыкать
zusammenraufen	приспособиться, притереться друг к другу
der Mantel, -	пальто
verlieben (sich) (in + A.)	влюбиться
verabreden (sich) (mit + D.)	договориться о встрече
verloben (sich) (mit + D.)	обручиться
verstehen (sich) (mit + D.), versteht sich, verstand sich, hat sich verstanden (Ich verstehe mich sehr gut/schlecht mit meiner Mutter.)	находить общий язык, понимать друг (Мы с мамой хорошо/плохо понимаем друг друга.)
der/die Akademiker/in, -/-nen	академик
der/die Alleinerziehende, -n	мать-одиночка, отец-одиночка
allzu (vor nicht allzu langer Zeit)	слишком (не очень давно)
der/die Anbieter/in, -/-nen	поставщик услуг
attraktiv	привлекательный
ausschließlich	исключительно
aussuchen	выбирать, выискивать
auszeichnen (sich) (durch + A.) (Gute Dating-Portale zeichnen sich durch einen Persönlichkeitstest aus.)	отличаться, выделяться (Хорошие сайты знакомств отличаются личностным тестом.)
der Beitrag, "-e (für meinen Verein zahle ich 150 € Beitrag im Jahr.)	членский взнос (Своему объединению я плачу ежегодно членский взнос в размере 150 евро.)
bestehen (in + D.), besteht, bestand, hat bestanden (Die Schwierigkeit besteht darin, dass ...)	состоять (Трудность в том, что ...)
boomen	переживать бум, быстро расти
dank (+ G.)	благодаря
darüber hinaus	сверх того
das Dating-Portal, -e	сайт знакомств
dienen (als)	служить (в качестве)
der Dienst, -e	служба
ebenfalls	так же
erleichtern	облегчить
gebührenpflichtig	платный
Jährlich	ежегодно
jedoch	всё же
die Kontaktbörse, -n	биржа контактов, служба знакомств
der Konzertbesuch, -e	посещение концерта
kostenlos	бесплатный
kostenpflichtig	платный
leichtfallen, fällt leicht, fiel leicht, ist leichtgefallen (Die Lösung dieses Problems ist ihm leichtgefallen.)	легко даваться (Решение этой проблемы далось ему легко.)
monatlich	месячный
oftmals	часто, неоднократно
das Online-Dating (Sg.)	виртуальное свидание
die Partnerbörse, -n	виртуальная служба знакомств
das Partnerglück (Sg.)	счастье от того, что есть партнёр
die Partnersuche (Sg.)	поиск партнёра
die Partnervermittlung, -en	бюро знакомств
die Party, -s	вечеринка
der Persönlichkeitscheck, -s	личностный тест
die Plattform, -en	платформа
schwer (schwer vermittelbar / leicht vermittelbar)	тяжело (тяжело / легко коммуницирующий)
der/die Senior/in, -en/-nen	пенсионер
die Suche (Sg.)	поиск
die Suchmaschine, -n	поисковая машина
verlangen (von + D.)	желать, требовать
das Vielfache (Sg.) (um ein Vielfaches)	кратное (во много раз)
wöchentlich	еженедельный
die Zeitungsanzeige, -n	газетное объявление
die Zielgruppe, -n	целевая группа, аудитория
zusammenpassen	подходить друг другу
das Gästebuch, "-er	книга отзывов
unpersönlich	безличный
die Angabe, -n (Die Angaben im eigenen Profil entscheiden oft, ob man Erfolg auf Dating-Portalen hat.)	данные, сведения (Данные, указанные в собственном профиле, решают часто, будет ли достигнут успех на сайте знакомств.)
die Kontaktaufnahme (Sg.)	установление контакта
das Profil, -e	профиль
die Auswahlmöglichkeit, -en	возможность выбора
effektiv	эффективный
die Flexibilität (Sg.)	гибкость
weiterhin	далее, впредь
